#{"t_start": 1690534340.438434, "env_id": "highway-v0"}
r,l,t
8.352596,12,5.971018
6.526016,8,8.330731
6.063687,8,10.660061
16.664908,20,16.312948
6.540595,8,18.579913
9.64398,12,22.023602
4.682396,6,23.759822
8.485055,11,26.96236
4.978899,7,29.005703
4.438665,6,30.732226
5.178369,7,32.720278
14.200222,19,38.138928
28.904072,38,49.121102
6.329705,9,51.663764
27.637033,39,62.496887
3.464605,5,63.987899
3.892823,5,65.418361
9.5357,13,69.002331
5.024053,7,70.935766
7.970607,10,73.725518
3.779542,6,75.48756
19.816868,28,83.505038
20.188242,27,91.093651
17.246388,24,97.880373
30.169777,40,109.123924
32.481378,40,120.332966
2.442957,4,121.449713
18.305341,25,128.540618
26.810809,32,137.678169
8.440885,11,140.767965
3.329342,5,142.238376
25.281065,32,151.354584
3.553497,5,152.804036
8.639362,10,155.607967
30.709313,40,166.979831
7.508246,9,169.609511
13.763273,19,174.965255
1.777215,3,175.891641
28.700585,39,187.158296
6.470426,10,190.007549
2.641149,4,191.173194
1.238756,2,191.780067
4.597995,6,193.548583
9.198059,12,197.142105
5.79201,7,199.181363
8.818836,12,202.595514
10.796223,15,207.008413
5.110568,7,208.978435
4.637827,6,210.721462
15.015222,18,215.912169
16.860168,20,221.652606
11.211335,15,225.848104
3.005236,5,227.313114
4.971282,6,229.102024
7.083168,10,231.989726
14.02318,20,237.777828
11.388787,15,242.072447
14.374302,19,247.591915
14.43525,19,253.002354
13.685404,19,258.495271
2.731179,4,259.646161
12.168751,16,264.294317
6.480285,9,266.924638
21.565301,29,275.138719
16.41345,21,281.208521
4.50438,6,282.946681
12.544272,16,287.49619
5.081933,7,289.448795
15.988943,21,295.527974
9.811574,12,298.981883
13.395955,20,304.646862
2.838645,4,305.785412
32.181581,40,317.222479
4.829268,6,318.957848
29.883142,40,330.318505
3.773207,5,331.702157
4.794859,6,333.419766
11.503647,15,337.666464
11.808197,14,341.743935
14.278155,19,347.246351
9.729767,12,350.708387
1.140465,2,351.290624
6.223436,8,353.620756
22.213318,31,362.683598
13.821752,20,368.352797
9.417784,13,371.984436
30.815795,40,383.20862
29.124286,40,394.488313
5.547697,7,396.515655
3.78587,5,397.937024
3.419486,5,399.372122
13.239291,18,404.50958
18.818583,26,411.923838
1.253127,2,412.521625
4.862224,7,414.529387
3.962393,5,415.971933
9.728775,14,419.881879
3.487401,5,421.345176
19.839964,25,428.306866
13.377503,18,443.378948
7.575576,10,446.304065
13.394168,17,451.091891
5.70337,7,453.045374
25.186926,33,462.550564
11.212605,14,466.678994
10.345053,13,470.464281
21.915805,24,477.224497
1.847407,3,478.110748
11.901123,15,482.494401
6.048067,9,485.050561
16.859973,21,491.042607
