#{"t_start": 1690543213.0310707, "env_id": "highway-v0"}
r,l,t
18.677323,24,7.02482
1.951111,3,7.918206
2.686831,4,9.149834
3.384677,5,10.638949
12.373565,18,16.012558
20.992783,24,22.99632
5.971279,7,25.021544
27.17767,34,35.086937
29.310655,40,46.862246
6.569778,8,49.156499
20.616292,28,57.296077
5.671757,7,59.329352
2.575716,4,60.536259
9.330841,11,63.77888
19.975385,28,71.779963
8.522767,10,74.687338
19.987499,27,82.696399
31.291461,40,94.240131
13.213009,15,98.768994
9.417908,13,102.53514
5.063687,7,104.666172
8.978275,12,108.089271
16.61402,19,113.637684
6.621455,8,115.96276
13.173541,18,121.224578
5.468026,7,123.278011
6.951326,10,126.244718
20.10607,25,133.652414
6.907462,9,136.289588
5.136031,8,138.611038
6.75337,9,141.22808
1.798501,3,142.134061
2.55226,4,143.262163
3.859688,5,144.705695
3.592697,5,146.116313
8.781121,13,149.938674
6.396743,8,152.265192
30.331999,40,163.749748
5.857758,8,166.108142
19.640541,26,173.616769
8.104332,10,176.506302
8.050139,10,179.385259
1.951099,3,180.290759
3.775196,5,181.794981
14.728078,21,187.941231
9.062872,11,191.099807
3.157413,5,192.536034
11.558264,15,196.839479
9.447875,12,200.346775
1.02072,2,200.95847
15.25867,19,206.375367
0.93277,2,206.984763
3.7496,5,208.450343
9.922644,12,211.892602
20.172693,29,220.262187
4.039209,5,221.754755
11.662667,14,225.733934
23.727641,29,234.098918
27.783937,36,244.33232
22.242653,32,253.498298
5.376398,7,255.457512
7.50882,9,257.975159
33.717503,40,269.561044
9.869708,15,273.834055
4.016987,5,275.295042
8.7137,13,279.103491
19.678846,24,286.075777
12.902146,14,290.061628
28.656671,37,300.758137
1.97209,3,301.670473
9.545543,11,304.888323
1.775052,3,305.82279
7.994967,11,309.042301
5.484962,8,311.318932
3.841717,5,312.777931
8.124133,10,315.6095
15.891146,21,321.789438
8.968368,10,324.655951
7.066695,10,327.591417
14.49169,21,333.644501
7.09263,11,336.946148
6.799338,9,339.583497
9.796062,14,343.79683
14.822037,21,349.924485
24.675508,31,359.091145
12.764182,18,364.358943
1.131875,2,364.931538
5.352439,7,366.96366
3.461626,5,368.403605
18.420806,25,375.74298
2.017766,3,376.621617
12.111519,17,381.526318
15.283913,21,387.596242
4.422449,6,389.517604
15.779507,20,395.386628
3.799199,6,397.14709
5.35486,7,399.18532
2.465179,4,400.310861
9.436704,11,403.559094
11.114868,15,408.031252
17.520185,20,413.908403
14.502374,19,419.335659
3.219486,5,420.836962
5.220304,8,423.28649
15.800665,24,430.33607
3.439978,5,431.787717
9.693401,12,435.268401
19.14725,27,463.056943
5.107541,7,465.091069
4.845114,6,466.867735
12.655284,16,471.4175
28.751842,40,483.082253
31.263667,40,494.689086
8.391877,11,497.817776
27.996603,40,509.148762
12.022442,18,514.285824
5.15836,8,516.601051
1.86221,3,517.475422
2.754993,4,518.665427
19.722736,23,525.357689
1.839988,3,526.25401
1.203144,2,526.870529
6.079678,8,529.235276
14.768403,17,534.076427
1.688968,3,534.939034
3.593383,5,536.389286
6.501883,8,538.664809
8.199936,12,542.243327
17.699833,24,549.246366
15.190082,20,554.921824
32.905451,40,566.823695
29.761284,39,578.058184
23.147726,32,587.358736
29.766289,38,598.284357
12.568367,17,603.203299
4.377082,6,604.90365
4.735856,7,606.900359
12.843435,17,611.866312
27.423456,39,624.977895
5.952438,9,627.625497
12.2678,18,632.746014
5.311408,7,634.797368
17.122592,20,640.55215
2.171826,3,641.464994
6.50337,8,643.846942
7.595567,11,647.136336
6.154045,8,649.457283
20.554752,26,657.008445
17.350084,24,663.945338
14.108894,20,669.726236
18.564362,24,676.68256
6.83745,10,679.632482
9.774484,14,683.753264
7.217411,9,686.35767
27.780327,40,697.909594
30.926046,40,709.442016
10.506678,14,713.525415
2.778621,4,714.738681
3.692507,6,716.562527
4.126388,6,718.290748
3.460711,5,719.825921
28.805258,40,731.584318
30.818348,40,742.965321
32.678268,40,754.439962
2.934132,5,755.917124
6.086125,8,758.247796
6.03815,8,760.535161
6.89223,10,763.542006
24.767066,32,772.863149
3.509612,5,774.349917
8.482273,11,777.495153
2.53277,4,778.662831
4.017998,6,780.470502
20.978189,28,788.653418
12.625437,18,793.910796
33.232162,40,805.77991
9.724569,12,809.256585
7.575573,10,812.12597
30.884012,40,823.876812
29.814484,40,835.496566
13.795412,18,840.739909
15.053747,18,845.861415
11.020147,16,850.603476
7.992443,10,853.510815
4.194972,6,855.305203
5.774088,8,857.698282
2.932596,4,858.828158
1.860979,3,859.71667
1.229354,2,860.304131
4.95006,7,862.310978
1.8,3,863.171848
19.73159,28,871.36587
30.825954,40,882.887699
16.176277,23,889.611515
18.14946,24,944.7014
32.041625,40,956.281996
2.681714,4,957.428721
28.551394,38,968.300316
30.392205,40,979.508095
6.446252,8,981.735615
4.841477,7,983.688457
14.897846,20,989.485658
22.306878,28,997.480974
16.242208,22,1003.815478
8.945124,11,1007.039634
8.854459,11,1010.188794
9.357677,12,1013.655432
9.312172,11,1016.802243
6.670679,9,1019.450635
16.891154,24,1026.438526
27.613389,38,1037.447277
17.616918,24,1044.361765
6.105989,8,1046.662911
25.81845,37,1057.486551
11.336626,14,1061.555572
6.304665,9,1064.141613
5.596471,7,1066.212083
25.941441,34,1076.149507
19.126838,24,1083.12119
31.198338,40,1094.593513
13.825844,20,1100.355502
6.570041,8,1102.612993
30.50734,40,1114.25886
7.934664,10,1117.171586
24.507353,32,1126.480616
10.50504,15,1130.791099
2.598501,4,1131.898502
11.014659,12,1135.367901
8.152009,12,1138.770094
9.468631,13,1142.630015
7.575071,11,1145.778339
10.056267,13,1149.48625
30.113353,39,1160.697408
2.552308,4,1161.913414
11.906933,15,1166.243192
5.065888,7,1168.273129
18.593202,25,1175.433267
4.857881,6,1177.18469
21.110569,29,1185.717986
5.330035,7,1187.757791
5.040869,7,1189.789335
9.444721,13,1193.645236
1.140465,2,1194.262203
17.978814,26,1201.780572
4.334009,7,1203.776033
27.424472,39,1215.080195
8.314027,12,1218.480672
8.399198,10,1221.262002
6.554341,9,1223.825637
13.464095,20,1229.661764
21.508934,31,1238.408634
1.994312,3,1239.263061
29.496976,40,1250.812623
7.13136,10,1253.644382
16.565266,21,1261.457537
12.435662,16,1266.164433
11.508961,15,1270.562153
24.307178,34,1280.444721
29.127303,40,1291.979901
15.46776,20,1297.836429
3.603603,5,1299.280082
25.436186,34,1309.0281
7.976166,10,1311.983584
3.761514,6,1313.760226
12.103243,15,1318.120572
28.513079,40,1329.658849
29.28261,40,1341.169359
9.552934,13,1344.805107
26.322106,33,1354.183138
7.446944,10,1357.076109
17.017619,23,1363.698774
8.96081,12,1367.118694
22.13412,31,1375.904859
7.530635,11,1436.561477
3.86345,6,1438.300987
13.346957,17,1443.094951
28.110643,39,1454.293012
14.392272,19,1459.698813
21.177038,30,1468.350442
29.829447,39,1479.435005
18.713119,24,1486.326646
18.330357,27,1493.972297
28.86613,40,1505.730386
15.269166,19,1511.086126
31.355498,40,1522.755383
28.840742,40,1534.168007
19.223005,27,1541.933361
1.229354,2,1542.544016
30.353005,40,1554.170978
30.349942,40,1565.607484
28.844633,40,1577.385538
17.374951,22,1583.789337
11.827986,16,1588.480687
7.220742,11,1591.568706
3.265179,5,1593.024142
5.472758,7,1595.011438
10.484569,14,1598.982405
28.43995,40,1610.560288
29.423542,40,1622.19945
30.793348,40,1633.829269
14.637891,21,1640.048298
11.600734,16,1644.673758
14.595208,17,1649.518912
3.570588,5,1650.961405
18.774585,26,1658.764838
27.748357,36,1669.217602
28.752364,40,1680.887858
24.243813,34,1690.647949
31.348524,40,1701.972216
5.689412,8,1704.295063
10.373423,15,1708.757708
2.641097,4,1709.924368
20.171447,26,1717.393716
31.355933,40,1728.941529
12.501113,17,1733.742535
3.705875,5,1735.169229
1.178991,2,1735.757359
9.53255,11,1738.936054
29.465348,40,1750.613636
27.627325,40,1761.972432
5.705853,7,1763.965265
31.020127,40,1775.638927
12.775776,17,1780.406077
21.705928,28,1788.353843
22.924256,29,1796.82117
19.209112,25,1803.841752
4.614811,6,1805.570114
1.798501,3,1806.426986
29.552984,40,1818.042897
23.269733,33,1827.329803
21.616666,28,1835.238732
28.716367,40,1846.663878
2.66221,4,1847.776305
19.039979,27,1855.475482
5.558513,8,1857.785995
22.001948,30,1866.480103
8.616793,12,1927.556955
28.325354,39,1938.908094
3.919188,5,1940.370867
5.12925,7,1942.412035
25.393056,34,1952.069897
2.98587,4,1953.301636
29.67698,40,1965.059485
29.744761,40,1978.367828
17.68606,24,1985.188447
29.244593,40,1996.840962
2.904755,4,1997.996826
4.888219,7,2000.030247
4.381122,7,2002.03321
15.002793,21,2008.289811
28.535309,40,2019.868176
1.866104,3,2020.811427
3.970238,5,2022.308359
6.647812,10,2025.253036
29.625278,40,2036.836142
28.046161,40,2048.298298
30.821123,40,2059.798021
15.46002,21,2065.882557
6.596457,8,2068.235982
8.403755,12,2071.639473
29.999549,40,2083.152311
4.527165,6,2084.81999
32.080526,40,2096.356668
8.532535,12,2099.816222
3.153888,5,2101.278386
6.777059,10,2104.113105
28.071329,40,2115.721622
5.072448,6,2117.454008
23.992166,33,2126.85944
10.246908,15,2131.213504
12.77468,18,2136.362271
5.7985,8,2138.584225
29.834833,40,2150.072659
28.778015,40,2161.429308
6.331512,8,2163.730148
7.418676,11,2166.893518
1.938842,3,2167.728618
28.91313,40,2179.171141
2.755062,4,2180.363206
28.848195,40,2191.925035
31.34933,40,2203.77149
29.003107,40,2215.356366
27.292644,40,2226.85484
13.804479,19,2232.339964
7.994251,10,2235.362217
29.534512,40,2247.084628
6.039186,7,2249.066873
5.886716,8,2251.359109
15.261983,21,2257.420463
10.245664,14,2261.495573
30.289417,40,2273.000176
28.97236,38,2283.936185
10.887738,15,2288.328945
5.773857,8,2290.687336
28.22366,40,2302.281716
28.160814,40,2313.840553
3.868787,6,2315.646631
31.332724,40,2327.216675
29.538459,40,2338.791297
30.531568,40,2350.396022
30.578135,40,2419.606407
2.618927,4,2420.781291
31.778395,40,2432.382963
4.156202,6,2434.176229
11.750312,16,2438.837087
28.780232,40,2450.488417
17.572519,21,2456.46104
6.064631,8,2458.746119
30.55453,40,2470.201761
27.049,40,2481.578063
28.618534,40,2493.262249
27.582888,40,2504.908688
2.665168,4,2506.125619
8.24184,10,2508.964125
11.801901,17,2513.922469
4.085628,6,2515.60177
3.439978,5,2517.092453
3.514891,5,2518.564508
24.271812,36,2529.033422
28.57581,40,2540.659328
16.648442,24,2547.516402
28.548937,40,2559.083557
10.903147,14,2563.111048
11.531069,16,2567.77936
23.821523,34,2577.657391
17.81847,25,2584.857383
11.403345,16,2589.575627
6.975645,10,2592.472972
30.751536,40,2604.078863
13.105846,17,2609.069876
28.93517,40,2622.441894
29.642817,40,2634.125368
27.78084,40,2645.774942
27.889026,40,2657.38234
27.425964,40,2668.962309
5.243885,7,2670.972585
30.245749,40,2682.429209
30.982215,40,2693.877844
26.892493,37,2704.615714
5.360815,9,2707.260365
27.891274,40,2718.856733
5.038518,7,2720.850718
30.045198,40,2732.329049
